,State,STNAME,Coc,CoC Code,FIPS code,CTYNAME,Year,Population
290,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2016,328680.0
291,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2016,571823.0
292,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2016,687576.0
293,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2016,1398093.0
294,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2016,1023816.0
295,IL,Illinois,Chicago,IL-510,17031,Cook County,2016,5223386.0
296,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2016,793020.0
297,MI,Michigan,Detroit,MI-501,26163,Wayne County,2016,1760835.0
298,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2016,2140240.0
299,NY,New York,New York City,NY-600,36005,Bronx County,2016,1443678.0
300,NY,New York,New York City,NY-600,36047,Kings County,2016,2608146.0
301,NY,New York,New York City,NY-600,36061,New York County,2016,1636721.0
302,NY,New York,New York City,NY-600,36081,Queens County,2016,2306249.0
303,NY,New York,New York City,NY-600,36085,Richmond County,2016,474160.0
304,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2016,
305,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2016,4622836.0
306,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2016,555338.0
307,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2016,744489.0
308,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2016,1206283.0
309,WA,Washington,Seattle/King,WA-500,53033,King County,2016,2167863.0
310,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2017,4329227.0
311,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2017,10092365.0
312,CA,California,San Diego City and County,CA-601,6073,San Diego County,2017,3319019.0
313,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2017,1932251.0
314,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2017,2149847.0
315,CA,California,San Francisco,CA-501,6075,San Francisco County,2017,877471.0
316,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2017,503717.0
317,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2017,645080.0
318,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2017,323019.0
319,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2017,68340.0
320,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2017,704869.0
321,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2017,336347.0
